ativo,data,Open,High,Low,Close,Adj Close,Volume
NVIDIA Corporation,2022-01-03,29.815000534057617,30.711000442504883,29.78499984741211,30.121000289916992,30.07563018798828,391547000
NVIDIA Corporation,2022-01-04,30.277000427246094,30.468000411987305,28.349000930786133,29.290000915527344,29.24588394165039,527154000
NVIDIA Corporation,2022-01-05,28.948999404907227,29.416000366210938,27.533000946044922,27.604000091552734,27.562421798706055,498064000
NVIDIA Corporation,2022-01-06,27.639999389648438,28.437999725341797,27.065000534057617,28.17799949645996,28.135557174682617,454186000
NVIDIA Corporation,2022-01-07,28.141000747680664,28.422000885009766,27.05699920654297,27.246999740600586,27.205961227416992,409939000
NVIDIA Corporation,2022-01-10,26.58099937438965,27.4689998626709,25.643999099731445,27.399999618530273,27.358736038208008,594681000
NVIDIA Corporation,2022-01-11,27.322999954223633,28.065000534057617,26.839000701904297,27.816999435424805,27.775104522705078,404089000
NVIDIA Corporation,2022-01-12,28.066999435424805,28.594999313354492,27.607999801635742,27.999000549316406,27.95682716369629,383413000
NVIDIA Corporation,2022-01-13,28.378999710083008,28.479999542236328,26.49799919128418,26.575000762939453,26.534975051879883,540171000
NVIDIA Corporation,2022-01-14,26.299999237060547,27.19700050354004,26.209999084472656,26.941999435424805,26.901418685913086,395832000
NVIDIA Corporation,2022-01-18,26.260000228881836,26.63800048828125,25.770000457763672,25.902999877929688,25.86398696899414,424270000
NVIDIA Corporation,2022-01-19,26.07900047302246,26.542999267578125,25.052000045776367,25.066999435424805,25.02924346923828,488315000
NVIDIA Corporation,2022-01-20,25.304000854492188,25.57900047302246,24.077999114990234,24.149999618530273,24.113624572753906,435181000
NVIDIA Corporation,2022-01-21,23.506999969482422,24.822999954223633,23.26300048828125,23.374000549316406,23.338794708251953,718958000
NVIDIA Corporation,2022-01-24,22.329999923706055,23.3799991607666,20.88800048828125,23.371999740600586,23.3367977142334,913982000
NVIDIA Corporation,2022-01-25,22.54599952697754,22.94300079345703,22.0,22.323999404907227,22.290374755859375,664616000
NVIDIA Corporation,2022-01-26,23.239999771118164,24.05699920654297,22.299999237060547,22.77199935913086,22.737699508666992,755959000
NVIDIA Corporation,2022-01-27,23.56800079345703,23.9950008392334,21.674999237060547,21.944000244140625,21.91094970703125,573353000
NVIDIA Corporation,2022-01-28,22.011999130249023,22.857999801635742,21.29599952697754,22.84000015258789,22.805601119995117,543774000
NVIDIA Corporation,2022-01-31,23.18199920654297,24.509000778198242,23.052000045776367,24.486000061035156,24.449119567871094,564680000
NVIDIA Corporation,2022-02-01,25.104000091552734,25.145000457763672,23.889999389648438,24.63800048828125,24.600889205932617,518925000
NVIDIA Corporation,2022-02-02,25.79400062561035,25.816999435424805,24.55299949645996,25.242000579833984,25.2039852142334,543419000
